; Custom campaign script generated by Romans Campaign Map Editor

campaign		imperial_campaign
playable
	romans_julii
	romans_brutii
	romans_scipii
end
unlockable
	egypt
	seleucid
	carthage
	parthia
	gauls
	germans
	britons
	greek_cities
	macedon
	pontus
	armenia
	dacia
	numidia
	scythia
	spain
	thrace
end
nonplayable
	romans_senate
	slave
end


start_date	-270 summer
end_date	14 summer

brigand_spawn_value 10
pirate_spawn_value 28


;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; >>>> start of landmarks section <<<<

landmark	pyramids_and_sphinx	181,	12
landmark	pharos	178,	21
landmark	colossus	160,	44
landmark	temple	157,	53
landmark	statue	134,	49
landmark	gardens	237,	46
landmark	mausoleum	160,	50
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; >>>> start of resources section <<<<

;        Resource Type   Quantity      X     Y

;; JNF 2021-06-01 - move the resource quantity redirect to be inline with the normal strat file

;;can still define like normal at the top, I've just grouped them both to make sure I didn't miss anything
;;resource	iron,           1,         83,   128

;;note: order is important, must be enabled _then_ disabled

;; JNF 2021-06-01 - resources with resource quantity enabled
resource_quantity_enabled
	resource	marble,         1,         55,   63
	resource	timber,         1,         201,  39
	resource	glass,          1,         199,  37
	resource	gold,           1,         46,   135
	resource	gold,           1,         20,   83
	resource	gold,           1,         140,  64
	resource	grain,          1,         103,  44
	resource	grain,          1,         84,   41
	resource	lead,           2,         56,   142
	resource	amber,          3,         93,   136
	resource	timber,         1,         86,   145
	resource	timber,         1,         124,  140
	resource	camels,         1,         246,  140
	resource	silver,         1,         216,  108
	resource	lead,           2,         47,   136
	resource	amber,          3,         113,  136
	resource	silver,         1,         107,  132
	resource	iron,           2,         105,  134
	resource	iron,           2,         49,   129
	resource	iron,           2,         78,   132
	resource	iron,           2,         107,  125
	resource	textiles,       1,         69,   122
	resource	textiles,       1,         56,   129
	resource	pottery,        1,         66,   123
	resource	grain,          1,         190,  115
	resource	hides,          1,         84,   113
	resource	timber,         1,         41,   110
	resource	glass,          1,         46,   111
	resource	iron,           2,         109,  110
	resource	iron,           2,         171,  111
	resource	iron,           2,         53,   103
	resource	lead,           1,         54,   99
	resource	lead,           1,         54,   98
	resource	gold,           1,         136,  98
	resource	iron,           2,         139,  101
	resource	timber,         1,         160,  99
	resource	grain,          1,         174,  101
	resource	wine,           2,         47,   91
	resource	pottery,        1,         65,   89
	resource	iron,           2,         54,   91
	resource	gold,           1,         212,  92
	resource	glass,          1,         96,   91
	resource	textiles,       2,         91,   90
	resource	textiles,       1,         49,   85
	resource	wine,           1,         65,   86
	resource	wine,           3,         55,   82
	resource	silver,         1,         59,   84
	resource	iron,           2,         112,  84
	resource	wine,           3,         108,  89
	resource	gold,           1,         148,  78
	resource	iron,           2,         16,   88
	resource	tin,            1,         23,   86
	resource	timber,         1,         24,   82
	resource	gold,           1,         117,  76
	resource	olive_oil,      2,         123,  73
	resource	iron,           2,         223,  80
	resource	wine,           2,         220,  86
	resource	pottery,        1,         86,   83
	resource	timber,         1,         78,   84
	resource	timber,         1,         197,  81
	resource	iron,           2,         188,  74
	resource	silver,         1,         202,  78
	resource	iron,           2,         28,   74
	resource	lead,           2,         30,   80
	resource	iron,           2,         89,   78
	resource	marble,         1,         90,   82
	resource	silver,         1,         47,   76
	resource	marble,         1,         50,   72
	resource	pottery,        1,         99,   79
	resource	iron,           2,         241,  64
	resource	elephants,      1,         253,  75
	resource	camels,         1,         250,  68
	resource	timber,         1,         140,  66
	resource	timber,         1,         155,  70
	resource	wine,           2,         166,  70
	resource	textiles,       1,         171,  64
	resource	silver,         1,         38,   67
	resource	pottery,        1,         40,   65
	resource	copper,         1,         109,  67
	resource	copper,         1,         109,  66
	resource	timber,         1,         115,  65
	resource	camels,         1,         217,  58
	resource	elephants,      1,         216,  62
	resource	textiles,       1,         218,  60
	resource	wine,           2,         18,   54
	resource	olive_oil,      2,         12,   54
	resource	gold,           1,         16,   53
	resource	timber,         1,         156,  65
	resource	silver,         1,         160,  63
	resource	textiles,       1,         158,  58
	resource	wine,           2,         161,  65
	resource	silver,         1,         195,  59
	resource	lead,           1,         55,   62
	resource	wine,           2,         54,   61
	resource	silver,         1,         167,  56
	resource	timber,         1,         156,  55
	resource	marble,         1,         165,  57
	resource	textiles,       1,         160,  54
	resource	iron,           2,         201,  57
	resource	camels,         1,         206,  54
	resource	elephants,      1,         201,  50
	resource	wine,           2,         203,  55
	resource	textiles,       1,         198,  56
	resource	elephants,      1,         238,  55
	resource	camels,         1,         240,  49
	resource	silver,         1,         142,  52
	resource	olive_oil,      2,         142,  55
	resource	camels,         1,         251,  43
	resource	elephants,      1,         254,  43
